title,description,publication_date,url,created_at
Владельцев крупного российского оператора сотовой связи признали экстремистами,,,https://lenta.ru/,2025-10-07 16:04:36
Китай ускорил строительство нефтяных хранилищ,,,https://lenta.ru/,2025-10-07 16:04:36
Появилась новая версия бесследного исчезновения российской семьи в тайге,,,https://lenta.ru/,2025-10-07 16:04:36
Появились кадры уничтожения HIMARS с помощью «Искандера»,,,https://lenta.ru/,2025-10-07 16:04:36
Россияне начали ловить рыбу с вертолетов,,,https://lenta.ru/,2025-10-07 16:04:36
Премьер Польши выступил против выдачи Германии задержанного за подрыв «Северных потоков»,,,https://lenta.ru/,2025-10-07 16:04:36
Россиянам назвали запрещенные действия при сдаче квартиры в аренду,,,https://lenta.ru/,2025-10-07 16:04:36
Мать пропавшего в Босфоре пловца заявила об отсутствии видеозаписей с заплыва,,,https://lenta.ru/,2025-10-07 16:04:36
"Супруги сняли номер в мотеле Бразилии, приняли горячую ванну и не выжили",,,https://lenta.ru/,2025-10-07 16:04:36
Москвичам предсказали аномальную зиму,,,https://lenta.ru/,2025-10-07 16:04:36
Два банка в России утратили статус системно значимых,,,https://lenta.ru/,2025-10-07 16:04:36
Появилось первое фото с последствиями взрыва дрона ВСУ на российской АЭС,,,https://lenta.ru/,2025-10-07 16:04:36
Сбер запустил депозиты в индийских рупиях. Чем они выгоднее других валют?,,,https://lenta.ru/,2025-10-07 16:04:36
«Раны продолжают кровоточить»: Что стоит за мирным планом Трампа по Газе и почему его отвергли Израиль и ХАМАС?,,2025-10-07,https://lenta.ru/,2025-10-07 16:04:36
«Мы делаем одно дело»: В зону СВО поступает контрабанда на миллиарды рублей. Что везут на фронт и при чем тут российская таможня?,,2025-10-07,https://lenta.ru/,2025-10-07 16:04:36
Россиянам назвали опасное связанное со сменой смартфона заблуждение,,,https://lenta.ru/,2025-10-07 16:04:36
Мужчин призвали осенью включить в рацион 11 продуктов,,,https://lenta.ru/,2025-10-07 16:04:36
Находившемуся на СВО бойцу выставили счет за неоказанную услугу,,,https://lenta.ru/,2025-10-07 16:04:36
Назван способ существенно сэкономить на ЖКУ,,,https://lenta.ru/,2025-10-07 16:04:36
В Москве объявлен «желтый» уровень опасности из-за тумана,,,https://lenta.ru/,2025-10-07 16:04:36
Производитель китайских автомобилей отзовет в России тысячи тягачей,,,https://lenta.ru/,2025-10-07 16:04:36
«Натягивал женскую кожу и шел копать могилы». Зверства деревенского маньяка потрясли Америку. Как они изменили Голливуд?,,2025-10-07,https://lenta.ru/,2025-10-07 16:04:36
«Трамп стоит перед сложным выбором». Зачем США хотят передать Украине высокоточные раеты Tomahawk и чем на это ответит Россия?,,,https://lenta.ru/,2025-10-07 16:04:36
Раскрыта возможная зона поражения американских «Томагавков» в России. В нее попадают почти 2000 объектов,,,https://lenta.ru/,2025-10-07 16:04:36
Стало известно о проблемах с «Силой Сибири-2»,,,https://lenta.ru/,2025-10-07 16:04:36
Японию назвали главной угрозой для США вместо России и Китая. Почему?,,,https://lenta.ru/,2025-10-07 16:04:36
"Стало известно, откуда могли запустить долетевшие до Тюмени дроны. Что за место?",,,https://lenta.ru/,2025-10-07 16:04:36
«Будет очень больно». В России пообещали жесткий ответ на удары ВСУ по Запорожской АЭС,,,https://lenta.ru/,2025-10-07 16:04:36
Дроны атаковали Тюмень впервые с начала СВО. Город находится в 2000 километров от границы с Украиной,,2025-10-06,https://lenta.ru/,2025-10-07 16:04:36
Украинский боец переоделся в российскую военную форму и был разоблачен. Какая деталь одежды его выдала?,,2025-10-06,https://lenta.ru/,2025-10-07 16:04:36
ВСУ все чаще жалуются на бреши в линии фронта. Чем это грозит Украине и как военные пытаются спасти ситуацию?,,2025-10-06,https://lenta.ru/,2025-10-07 16:04:36
Матвиенко предложила собирать деньги с неработающих россиян. Зачем это нужно?,,2025-10-06,https://lenta.ru/,2025-10-07 16:04:36
Десятки россиян лишились отпуска из-за дефекта в загранпаспортах. Что стало причиной?,,2025-10-06,https://lenta.ru/,2025-10-07 16:04:36
«Я бы поехал в Москву сразу». Арестович заявил о готовности передать России Крым и четыре области,,2025-10-06,https://lenta.ru/,2025-10-07 16:04:36
«Мы запустили огромный объем работы». Генсек Совета Европы объявил о подготовке «спецтрибунала» по России,,2025-10-06,https://lenta.ru/,2025-10-07 16:04:36
