title,description,publication_date,url,created_at
Видео: водитель выпрыгнул из «КамАза» за секунду до ДТП,,,https://www.gazeta.ru/,2025-10-07 16:17:52
"Россиянам назвали опасное заблуждение, связанное со сменой смартфона",,,https://www.gazeta.ru/,2025-10-07 16:17:52
Наемники из Колумбии вновь призвали власти страны вызволить их с Украины,,,https://www.gazeta.ru/,2025-10-07 16:17:52
Школьник изнасиловал пятилетнего мальчика у себя дома и попал под суд,,,https://www.gazeta.ru/,2025-10-07 16:17:52
Россиянин сел в тюрьму за попытку примкнуть к террористам с Украины,,,https://www.gazeta.ru/,2025-10-07 16:17:52
"Названо число украинцев, принявших участие в боевых действиях",,,https://www.gazeta.ru/,2025-10-07 16:17:52
Владельцев российского оператора сотовой связи признали экстремистами,,,https://www.gazeta.ru/,2025-10-07 16:17:52
Захарова отвергла обвинения Финляндии о нарушении Россией принципов Хельсинки,,,https://www.gazeta.ru/,2025-10-07 16:17:52
Нацсобрание Франции рассмотрит предложение по отрешению Макрона от власти,,,https://www.gazeta.ru/,2025-10-07 16:17:52
Журналист рассказал о тревоге в Белом доме из-за умственных способностей Трампа,,,https://www.gazeta.ru/,2025-10-07 16:17:52
СМИ: Япония стала главной угрозой для США,"Япония незаметно обошла РФ и Китай, став главной угрозой для США. Об этом пишет китайское издание Sohu. Авторы материала отмечают, что в течение долгого времени Япония была под покровительством Соединенных Штатов, однако при этом Токио наращивал свои силы. Это, среди прочего, привело к значительному усилению японского флота.",2025-10-07,https://www.gazeta.ru/,2025-10-07 15:59:33
